iter	Passed	Remaining
0	1	121
1	1	88
2	2	76
3	2	67
4	3	64
5	4	63
6	4	61
7	5	59
8	5	58
9	6	58
10	7	62
11	8	63
12	9	63
13	10	64
14	11	63
15	11	61
16	12	60
17	12	59
18	13	57
19	14	56
20	14	55
21	15	54
22	15	53
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	62	0
99	62	0
